District,Death
Ernakulam,8526
Thiruvananthapuram,8645
Thrissur,7560
Kozhikode,6469
MPM,6480
Kollam,6655
Kottayam,4670
Palakkad,5817
Alappuzha,5272
Kannur,4479
Pathanamthitta,2617
Idukki,1552
Wayanad,981
Kasaragod,1400
